3Dc,"3Dc (FourCC : ATI2), also known as DXN, BC5, or Block Compression 5 is a lossy data compression algorithm for normal maps invented and first implemented by ATI. It builds upon the earlier DXT5 algorithm and is an open standard. 3Dc is now implemented by both ATI and Nvidia.","[u'3D graphics software', u'Lossy compression algorithms', u'Open formats', u'Texture compression']","[u'ATI Technologies', u'Bump mapping', u'DXT5', u'Data compression', u'FourCC', u'Geometric', u'Lossy data compression', u'Normal mapping', u'Nvidia', u'Open standard', u'Texture mapping']"
A*,"In computer science, A* (pronounced as ""A star"" ( listen)) is a computer algorithm that is widely used in pathfinding and graph traversal, the process of plotting an efficiently traversable path between multiple points, called nodes. Noted for its performance and accuracy, it enjoys widespread use. However, in practical travel-routing systems, it is generally outperformed by algorithms which can pre-process the graph to attain better performance, although other work has found A* to be superior to other approaches.
Peter Hart, Nils Nilsson and Bertram Raphael of Stanford Research Institute (now SRI International) first described the algorithm in 1968. It is an extension of Edsger Dijkstra's 1959 algorithm. A* achieves better performance by using heuristics to guide its search.","[u'All accuracy disputes', u'Articles with disputed statements from February 2014', u'Articles with example pseudocode', u'Combinatorial optimization', u'Game artificial intelligence', u'Graph algorithms', u'Routing algorithms', u'Search algorithms']","[u'A*', u'A* (disambiguation)', u'AI Magazine', u'A star', u'Admissible heuristic', u'Amortized time', u'Any-angle path planning', u'Artificial Intelligence: A Modern Approach', u'Association for Computing Machinery', u'Bertram Raphael', u'Best, worst and average case', u'Best-first search', u'Bidirectional search', u'Binary heap', u'Branch and bound', u'Branching factor', u'Breadth-first search', u'Computational complexity theory', u'Computer algorithm', u'Computer performance', u'Computer science', u'Consistent heuristic', u'D*', u'Depth-first search', u'Digital object identifier', u""Dijkstra's algorithm"", u'Dorothea Wagner', u'Edsger Dijkstra', u'Exponential time', u'Fibonacci heap', u'Fringe search', u'Goal node', u'Graph (data structure)', u'Graph traversal', u'Greedy algorithm', u'Hash table', u'Heuristic', u'Heuristic (computer science)', u'IDA*', u'Incremental heuristic search', u'Informed search algorithm', u'Institute of Electrical and Electronics Engineers', u'International Standard Book Number', u'Journal of the ACM', u'Jump point search', u'LIFO (computing)', u'Logarithm', u'Motion planning', u'Natural language processing', u'Nils Nilsson (researcher)', u'Node (graph theory)', u'Parsing', u'Pathfinding', u'Peter E. Hart', u'Peter Norvig', u'Peter Sanders (computer scientist)', u'Polynomial time', u'Princeton University', u'Priority queue', u'Pseudocode', u'Reduced cost', u'Robotics', u'Routing', u'SMA*', u'SRI International', u'Search algorithm', u'Shakey the Robot', u'Stochastic context-free grammar', u'Stuart J. Russell', u'Tree (data structure)']"
ALOPEX,"ALOPEX (an acronym from ""ALgorithms Of Pattern EXtraction"") is a correlation based machine learning algorithm first proposed by Tzanakou and Harth in 1974.","[u'All stub articles', u'Artificial intelligence stubs', u'Artificial neural networks', u'Classification algorithms']","[u'Artificial intelligence', u'Backpropagation', u'Evangelia Micheli-Tzanakou', u'Machine learning']"
AdaBoost,"AdaBoost, short for ""Adaptive Boosting"", is a machine learning meta-algorithm formulated by Yoav Freund and Robert Schapire who won the Gödel Prize in 2003 for their work. It can be used in conjunction with many other types of learning algorithms to improve their performance. The output of the other learning algorithms ('weak learners') is combined into a weighted sum that represents the final output of the boosted classifier. AdaBoost is adaptive in the sense that subsequent weak learners are tweaked in favor of those instances misclassified by previous classifiers. AdaBoost is sensitive to noisy data and outliers. In some problems, however, it can be less susceptible to the overfitting problem than other learning algorithms. The individual learners can be weak, but as long as the performance of each one is slightly better than random guessing (i.e., their error rate is smaller than 0.5 for binary classification), the final model can be proven to converge to a strong learner
While every learning algorithm will tend to suit some problem types better than others, and will typically have many different parameters and configurations to be adjusted before achieving optimal performance on a dataset, AdaBoost (with decision trees as the weak learners) is often referred to as the best out-of-the-box classifier. When used with decision tree learning, information gathered at each stage of the AdaBoost algorithm about the relative 'hardness' of each training sample is fed into the tree growing algorithm such that later trees tend to focus on harder to classify examples.","[u'Classification algorithms', u'Ensemble learning']","[u'Backfitting algorithm', u'Boosting (meta-algorithm)', u'Bootstrap aggregating', u'BrownBoost', u'CiteSeer', u'CoBoosting', u'Continuously differentiable function', u'Convex function', u'Convex set', u'Curse of dimensionality', u'Decision tree learning', u'Digital object identifier', u'Early stopping', u'Gradient boosting', u'Gradient descent', u'G\xf6del Prize', u'Haar-like features', u'Huber loss function', u'International Standard Book Number', u'LPBoost', u'Least squares', u'Linear programming', u'Logistic regression', u'Logit', u'LogitBoost', u'Machine learning', u'Meta-algorithm', u'Monotonic function', u'Neural network', u""Newton's method"", u'Newton-Raphson', u'Numerical instability', u'Outlier', u'Overfitting', u'Overfitting (machine learning)', u'Regression analysis', u'Robert Schapire', u'Smoothing spline', u'Support vector machine', u'Viola\u2013Jones object detection framework', u'Yoav Freund']"
Adaptive coding,"Adaptive coding refers to variants of entropy encoding methods of lossless data compression. They are particularly suited to streaming data, as they adapt to localized changes in the characteristics of the data, and don't require a first pass over the data to calculate a probability model. The cost paid for these advantages is that the encoder and decoder must be more complex to keep their states synchronized, and more computational power is needed to keep adapting the encoder/decoder state.
Almost all data compression methods involve the use of a model, a prediction of the composition of the data. When the data matches the prediction made by the model, the encoder can usually transmit the content of the data at a lower information cost, by making reference to the model. This general statement is a bit misleading as general data compression algorithm would include the popular LZW and LZ77 algorithms, which are hardly comparable to compression techniques typically called adaptive. Run length encoding and the typical JPEG compression with run length encoding and predefined Huffman codes do not transmit a model. A lot of other methods adapt their model to the current file and need to transmit it in addition to the encoded data, because both the encoder and the decoder need to use the model.
In adaptive coding, the encoder and decoder are instead equipped with a predefined meta-model about how they will alter their models in response to the actual content of the data, and otherwise start with a blank slate, meaning that no initial model needs to be transmitted. As the data is transmitted, both encoder and decoder adapt their models, so that unless the character of the data changes radically, the model becomes better-adapted to the data its handling and compresses it more efficiently approaching the efficiency of the static coding.

","[u'All articles lacking sources', u'Articles lacking sources from June 2009', u'Lossless compression algorithms']","[u'Beacon mode service', u'Binary Golay code', u'CCSDS 122.0-B-1', u'Cassini-Huygens', u'Command Loss Timer Reset', u'Concatenated error correction code', u'Consultative Committee for Space Data Systems', u'Data compression', u'Entropy encoding', u'GMSK', u'ICER', u'JPEG', u'JPEG 2000', u'K band', u'Ka band', u'Ku band', u'LZ77', u'LZW', u'Lossless data compression', u'Low-density parity-check code', u'Message Abstraction Layer', u'OQPSK', u'Performance Enhancing Proxy', u'Phase-shift keying', u'Proximity-1 Space Link Protocol', u'QPSK', u'Run length encoding', u'S band', u'Saturn', u'Service-oriented architecture', u'Solid-state drive', u'Space Communications Protocol Specifications', u'Spacecraft Monitoring & Control', u'Turbo code', u'X band']"
Adaptive replacement cache,"Adaptive Replacement Cache (ARC) is a page replacement algorithm with better performance than LRU (Least Recently Used) developed at the IBM Almaden Research Center. This is accomplished by keeping track of both Frequently Used and Recently Used pages plus a recent eviction history for both. In 2006, IBM was granted a patent for the adaptive replacement cache policy.

","[u'Memory management algorithms', u'Use dmy dates from August 2012', u'Virtual memory']","[u'Almaden Research Center', u'Cache algorithms', u'Clock with Adaptive Replacement', u'Dharmendra Modha', u'Nimrod Megiddo', u'Page replacement algorithm', u'PostgreSQL', u'Solaris Operating System', u'Sun Microsystems', u'ZFS']"
Addition-chain exponentiation,"In mathematics and computer science, optimal addition-chain exponentiation is a method of exponentiation by positive integer powers that requires a minimal number of multiplications. It works by creating the shortest addition chain that generates the desired exponent. Each exponentiation in the chain can be evaluated by multiplying two of the earlier exponentiation results. More generally, addition-chain exponentiation may also refer to exponentiation by non-minimal addition chains constructed by a variety of algorithms (since a shortest addition chain is very difficult to find).
The shortest addition-chain algorithm requires no more multiplications than binary exponentiation and usually less. The first example of where it does better is for a15, where the binary method needs six multiplications but a shortest addition chain requires only five:
 (binary, 6 multiplications)
 (shortest addition chain, 5 multiplications).
On the other hand, the determination of a shortest addition chain is hard: no efficient optimal methods are currently known for arbitrary exponents, and the related problem of finding a shortest addition chain for a given set of exponents has been proven NP-complete. Even given a shortest chain, addition-chain exponentiation requires more memory than the binary method, because it must potentially store many previous exponents from the chain. So in practice, shortest addition-chain exponentiation is primarily used for small fixed exponents for which a shortest chain can be precomputed and is not too large.
There are also several methods to approximate a shortest addition chain, and which often require fewer multiplications than binary exponentiation; binary exponentiation itself is a suboptimal addition-chain algorithm. The optimal algorithm choice depends on the context (such as the relative cost of the multiplication and the number of times a given exponent is re-used).
The problem of finding the shortest addition chain cannot be solved by dynamic programming, because it does not satisfy the assumption of optimal substructure. That is, it is not sufficient to decompose the power into smaller powers, each of which is computed minimally, since the addition chains for the smaller powers may be related (to share computations). For example, in the shortest addition chain for a15 above, the subproblem for a6 must be computed as (a3)2 since a3 is re-used (as opposed to, say, a6 = a2(a2)2, which also requires three multiplies).","[u'Addition chains', u'Computer arithmetic algorithms', u'Exponentials']","[u'Addition-subtraction chain', u'Addition chain', u'Algorithm', u'Binary exponentiation', u'Computer science', u'Digital object identifier', u'Donald E. Knuth', u'Dynamic programming', u'Elliptic curve', u'Exponentiation', u'Integer', u'Mathematics', u'NP-complete', u'Negative number', u'Optimal substructure']"
Adler-32,"Adler-32 is a checksum algorithm which was invented by Mark Adler in 1995, and is a modification of the Fletcher checksum. Compared to a cyclic redundancy check of the same length, it trades reliability for speed (preferring the latter). Adler-32 is more reliable than Fletcher-16, and slightly less reliable than Fletcher-32.",[u'Checksum algorithms'],"[u'16-bit', u'ASCII', u'Algorithm', u'Byte', u'CRC-32', u'CRC32', u'C (programming language)', u'Checksum', u'Composite number', u'Cyclic redundancy check', u'Endianness', u""Fletcher's checksum"", u'Fletcher-16', u'Fletcher-32', u'Hexadecimal', u'Hierarchical Data Format', u'List of hash functions', u'Mark Adler', u'Modular arithmetic', u'Prime number', u'Rolling checksum', u'Rsync', u'Stream Control Transmission Protocol', u'Word (data type)', u'Zlib']"
Aho–Corasick string matching algorithm,"In computer science, the Aho–Corasick algorithm is a string searching algorithm invented by Alfred V. Aho and Margaret J. Corasick. It is a kind of dictionary-matching algorithm that locates elements of a finite set of strings (the ""dictionary"") within an input text. It matches all patterns simultaneously. The complexity of the algorithm is linear in the length of the patterns plus the length of the searched text plus the number of output matches. Note that because all matches are found, there can be a quadratic number of matches if every substring matches (e.g. dictionary = a, aa, aaa, aaaa and input string is aaaa).
Informally, the algorithm constructs a finite state machine that resembles a trie with additional links between the various internal nodes. These extra internal links allow fast transitions between failed pattern matches (e.g. a search for cat in a trie that does not contain cat, but contains cart, and thus would fail at the node prefixed by ca), to other branches of the trie that share a common prefix (e.g., in the previous case, a branch for attribute might be the best lateral transition). This allows the automaton to transition between pattern matches without the need for backtracking.
When the pattern dictionary is known in advance (e.g. a computer virus database), the construction of the automaton can be performed once off-line and the compiled automaton stored for later use. In this case, its run time is linear in the length of the input plus the number of matched entries.
The Aho–Corasick string matching algorithm formed the basis of the original Unix command fgrep.","[u'All articles lacking in-text citations', u'Articles lacking in-text citations from February 2013', u'String matching algorithms']","[u'Alfred Aho', u'Alfred V. Aho', u'Apostolico\u2013Giancarlo algorithm', u'Approximate string matching', u'Bitap algorithm', u'Boyer\u2013Moore string search algorithm', u'Boyer\u2013Moore\u2013Horspool algorithm', u'Commentz-Walter algorithm', u'Comparison of regular expression engines', u'Compressed pattern matching', u'Computational complexity theory', u'Computer science', u'Computer virus', u'Damerau\u2013Levenshtein distance', u'Deterministic acyclic finite state automaton', u'Dictionary of Algorithms and Data Structures', u'Digital object identifier', u'Directed acyclic word graph', u'Edit distance', u'Finite state machine', u'Generalized suffix tree', u'Grep', u'Hamming distance', u""Hirschberg's algorithm"", u'Jaro\u2013Winkler distance', u'Knuth\u2013Morris\u2013Pratt algorithm', u'Lee distance', u'Levenshtein automaton', u'Levenshtein distance', u'List of Unix programs', u'List of regular expression software', u'Longest common subsequence', u'Longest common substring', u'Needleman\u2013Wunsch algorithm', u'Nondeterministic finite automaton', u'Parsing', u'Pattern matching', u'Rabin\u2013Karp algorithm', u'Rabin\u2013Karp string search algorithm', u'Regular expression', u'Regular tree grammar', u'Rope (data structure)', u'Sequence alignment', u'Sequential pattern mining', u'Smith\u2013Waterman algorithm', u'String (computer science)', u'String metric', u'String searching algorithm', u'Suffix array', u'Suffix automaton', u'Suffix tree', u'Ternary search tree', u""Thompson's construction"", u'Trie', u'Wagner\u2013Fischer algorithm']"
Algorithm X,"""Algorithm X"" is the name Donald Knuth used in his paper ""Dancing Links"" to refer to ""the most obvious trial-and-error approach"" for finding all solutions to the exact cover problem. Technically, Algorithm X is a recursive, nondeterministic, depth-first, backtracking algorithm. While Algorithm X is generally useful as a succinct explanation of how the exact cover problem may be solved, Knuth's intent in presenting it was merely to demonstrate the utility of the dancing links technique via an efficient implementation he called DLX.
The exact cover problem is represented in Algorithm X using a matrix A consisting of 0s and 1s. The goal is to select a subset of the rows so that the digit 1 appears in each column exactly once.
Algorithm X functions as follows:

The nondeterministic choice of r means that the algorithm essentially clones itself into independent subalgorithms; each subalgorithm inherits the current matrix A, but reduces it with respect to a different row r. If column c is entirely zero, there are no subalgorithms and the process terminates unsuccessfully.
The subalgorithms form a search tree in a natural way, with the original problem at the root and with level k containing each subalgorithm that corresponds to k chosen rows. Backtracking is the process of traversing the tree in preorder, depth first.
Any systematic rule for choosing column c in this procedure will find all solutions, but some rules work much better than others. To reduce the number of iterations, Knuth suggests that the column choosing algorithm select a column with the lowest number of 1s in it.","[u'Donald Knuth', u'Search algorithms']","[u'-yllion', u'AMS Euler', u'Algorithm', u'Algorithm X', u'ArXiv', u'Backtracking', u'CWEB', u'Computer Modern', u'Computers and Typesetting', u'Concrete Mathematics', u'Concrete Roman', u'Dancing Links', u'Dancing links', u'Depth-first', u'Deterministic algorithm', u""Dijkstra's algorithm"", u'Donald Knuth', u'Doubly linked list', u'Exact cover', u'Fisher\u2013Yates shuffle', u'Font', u'GNU MIX Development Kit', u'International Standard Book Number', u""Knuth's Simpath algorithm"", u'Knuth Prize', u'Knuth reward check', u'Knuth\u2013Bendix completion algorithm', u'Knuth\u2013Morris\u2013Pratt algorithm', u'Literate programming', u'METAFONT', u'MIX', u'MMIX', u'Man or boy test', u'Nondeterministic algorithm', u'Potrzebie', u'Quater-imaginary base', u'Recursion (computer science)', u'Robinson\u2013Schensted\u2013Knuth correspondence', u'Search tree', u'Selected papers series of Knuth', u'Software', u'Surreal Numbers (book)', u'TeX', u'The Art of Computer Programming', u'The Complexity of Songs', u'Things a Computer Scientist Rarely Talks About', u'Trabb Pardo\u2013Knuth algorithm', u'WEB']"
